facilityname,updateddate,addeddate,reportdate,coverall,surgmask,shoe_cover,face_shield,head_cover,n95mask,goggles,gloves,gown,vtm,nps,ops,weekly_reportdate,region,province,city_mun,bgy,region_psgc,province_psgc,city_mun_psgc,bgy_psgc
RAMON MAGSAYSAY CENTRAL ELEMENTARY SCHOOL LIGTAS COVID CENTER,,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,RAMON MAGSAYSAY (LIARGO),POBLACION,PH090000000,PH097300000,PH097323000,PH097323020
RAMON MAGSAYSAY CENTRAL ELEMENTARY SCHOOL LIGTAS COVID CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,RAMON MAGSAYSAY (LIARGO),POBLACION,PH090000000,PH097300000,PH097323000,PH097323020
SAN MIGUEL LIGTAS COVID 19 CENTER (CENTRAL ELEMENTARY SCHOOL),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,SAN MIGUEL,POBLACION,PH090000000,PH097300000,PH097324000,PH097324019
SAN PABLO LIGTAS COVID CENTER (SAN PABLO CENTRAL ELEMENTARY SCHOOL),,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,SAN PABLO,POBLACION (SAN PABLO),PH090000000,PH097300000,PH097325000,PH097325017
SAN PABLO LIGTAS COVID CENTER (SAN PABLO CENTRAL ELEMENTARY SCHOOL),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,SAN PABLO,POBLACION (SAN PABLO),PH090000000,PH097300000,PH097325000,PH097325017
TABINA LIGTAS COVID CENTER (TABINA ISOLATION UNIT),,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,TABINA,POBLACION,PH090000000,PH097300000,PH097327000,PH097327013
TABINA LIGTAS COVID CENTER (TABINA ISOLATION UNIT),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,TABINA,POBLACION,PH090000000,PH097300000,PH097327000,PH097327013
BAHAY NI NANAY,,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,TAMBULIG,CALOLOT,PH090000000,PH097300000,PH097328000,PH097328008
BAHAY NI NANAY,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,TAMBULIG,CALOLOT,PH090000000,PH097300000,PH097328000,PH097328008
TAMBULIG LIGTAS COVID CENTER (SENIOR CITIZEN & PWD BUILDING),,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,TAMBULIG,NEW VILLAGE (POB.),PH090000000,PH097300000,PH097328000,PH097328027
TAMBULIG LIGTAS COVID CENTER (SENIOR CITIZEN & PWD BUILDING),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,TAMBULIG,NEW VILLAGE (POB.),PH090000000,PH097300000,PH097328000,PH097328027
TUKURAN LIGTAS COVID CENTER (BEACH RESORT),,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,TUKURAN,UPPER BAYAO,PH090000000,PH097300000,PH097330000,PH097330029
ZCMC LIGTAS COVID CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,ZAMBOANGA CITY,CABATANGAN,PH090000000,PH097300000,PH097332000,PH097332016
PITOGO LIGTAS COVID CENTER,,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,PITOGO,POBLACION (PITOGO),PH090000000,PH097300000,PH097338000,PH097338010
PITOGO LIGTAS COVID CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,PITOGO,POBLACION (PITOGO),PH090000000,PH097300000,PH097338000,PH097338010
SOMINOT NATIONAL HIGH SCHOOL,,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,SOMINOT (DON MARIANO MARCOS),POBLACION,PH090000000,PH097300000,PH097340000,PH097340012
SOMINOT NATIONAL HIGH SCHOOL,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,SOMINOT (DON MARIANO MARCOS),POBLACION,PH090000000,PH097300000,PH097340000,PH097340012
GUIPOS LIGTAS COVID CENTER,,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,GUIPOS,POBLACION (GUIPOS),PH090000000,PH097300000,PH097343000,PH097343009
GUIPOS LIGTAS COVID CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,GUIPOS,POBLACION (GUIPOS),PH090000000,PH097300000,PH097343000,PH097343009
ALICIA WMSU ESU,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,ALICIA,POBLACION,PH090000000,PH098300000,PH098301000,PH098301019
LGU BUUG ISOLATION AND QUARANTINE FACILITY (BIADC BUILDING LIGTAS COVID CENTER),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,BUUG,DEL MONTE,PH090000000,PH098300000,PH098302000,PH098302006
DIPLAHAN LIGTAS COVID CENTER (BUTONG ELEMENTARY SCHOOL),,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,DIPLAHAN,DITAY,PH090000000,PH098300000,PH098303000,PH098303005
PENSION HAUS,,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,MABUHAY,POBLACION,PH090000000,PH098300000,PH098307000,PH098307019
PENSION HAUS,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,MABUHAY,POBLACION,PH090000000,PH098300000,PH098307000,PH098307019
MALANGAS HOTEL AND BEMONC,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,MALANGAS,POBLACION,PH090000000,PH098300000,PH098308000,PH098308028
BAHAY PAG-ASA,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,TITAY,POBLACION (TITAY),PH090000000,PH098300000,PH098315000,PH098315021
BAHAY PAG-ASA,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),BUKIDNON,CITY OF MALAYBALAY (CAPITAL),PATPAT (LAPU-LAPU),PH100000000,PH101300000,PH101312000,PH101312025
PANTAO RAGAT LIGTAS COVID 19 CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,PANTAO RAGAT,POBLACION EAST,PH100000000,PH103500000,PH103516000,PH103516012
TAGOLOAN LIGTAS COVID CENTER,,,2020-05-24 00:00:00 UTC,,,,,,,,,,,,,2020-05-24 00:00:00 UTC,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,TAGOLOAN,DIMAYON,PH100000000,PH103500000,PH103520000,PH103520003
TAGOLOAN LIGTAS COVID CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,TAGOLOAN,DIMAYON,PH100000000,PH103500000,PH103520000,PH103520003
BARANGAY BULOD ISOLATION UNIT,,,2020-05-24 00:00:00 UTC,,,,,,,,,,,,,2020-05-24 00:00:00 UTC,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,TUBOD (CAPITAL),BULOD,PH100000000,PH103500000,PH103522000,PH103522004
BARANGAY BULOD ISOLATION UNIT,,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,TUBOD (CAPITAL),BULOD,PH100000000,PH103500000,PH103522000,PH103522004
BARANGAY BULOD ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,TUBOD (CAPITAL),BULOD,PH100000000,PH103500000,PH103522000,PH103522004
TUBOD LIGTAS COVID-19 CENTER,,,2020-05-24 00:00:00 UTC,,,,,,,,,,,,,2020-05-24 00:00:00 UTC,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,TUBOD (CAPITAL),POBLACION,PH100000000,PH103500000,PH103522000,PH103522019
TUBOD LIGTAS COVID-19 CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,TUBOD (CAPITAL),POBLACION,PH100000000,PH103500000,PH103522000,PH103522019
BARANGAY PUALAS ISOLATION UNIT,,,2020-05-24 00:00:00 UTC,,,,,,,,,,,,,2020-05-24 00:00:00 UTC,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,TUBOD (CAPITAL),PUALAS,PH100000000,PH103500000,PH103522000,PH103522020
BARANGAY PUALAS ISOLATION UNIT,,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,TUBOD (CAPITAL),PUALAS,PH100000000,PH103500000,PH103522000,PH103522020
BARANGAY PUALAS ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,TUBOD (CAPITAL),PUALAS,PH100000000,PH103500000,PH103522000,PH103522020
BARANGAY STO. NIÑO ISOLATION UNIT,,,2020-05-24 00:00:00 UTC,,,,,,,,,,,,,2020-05-24 00:00:00 UTC,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,TUBOD (CAPITAL),SANTO NI,PH100000000,PH103500000,PH103522000,PH103522022
BARANGAY STO. NIÑO ISOLATION UNIT,,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,TUBOD (CAPITAL),SANTO NI,PH100000000,PH103500000,PH103522000,PH103522022
BARANGAY STO. NIÑO ISOLATION UNIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,TUBOD (CAPITAL),SANTO NI,PH100000000,PH103500000,PH103522000,PH103522022
ALORAN LIGTAS COVID CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,ALORAN,DALISAY,PH100000000,PH104200000,PH104201000,PH104201009
BALIANGAO PROTECTED LANDSCAPES AND SEASCAPE,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,BALIANGAO,MISOM,PH100000000,PH104200000,PH104202000,PH104202007
CALAMBA QUARANTINE FACILITY,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,CALAMBA,BUNAWAN,PH100000000,PH104200000,PH104204000,PH104204002
CALAMBA QUARANTINE FACILITY,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,CALAMBA,MAGCAMIGUING,PH100000000,PH104200000,PH104204000,PH104204008
RURAL HEALTH UNIT- JIMENEZ,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,JIMENEZ,SANTA CRUZ (POB.),PH100000000,PH104200000,PH104207000,PH104207019
LOPEZ JAENA COVID19 QUARANTINE FACILITY,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,LOPEZ JAENA,EASTERN POBLACION,PH100000000,PH104200000,PH104208000,PH104208022
SAN VICENTE BAJO PORT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,OROQUIETA CITY (CAPITAL),SAN VICENTE BAJO,PH100000000,PH104200000,PH104209000,PH104209034
PANAON LIGTAS COVID CENTER 1,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,PANAON,POBLACION,PH100000000,PH104200000,PH104211000,PH104211009
SAPANGDALAGA LIGTAS COVID CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,SAPANG DALAGA,POBLACION,PH100000000,PH104200000,PH104213000,PH104213017
SINACABAN QUARANTINE FACILITY,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,SINACABAN,POBLACION,PH100000000,PH104200000,PH104214000,PH104214013
LGU TUDELA LIGTAS COVID CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,TUDELA,CENTRO NAPU (POB.),PH100000000,PH104200000,PH104216000,PH104216012
DON VICTORIANO LIGTAS-COVID CENTER QUARANTINE FACILITY,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,DON VICTORIANO CHIONGBIAN  (DON MARIANO MARCOS),LALUD,PH100000000,PH104200000,PH104217000,PH104217004
BHS BALAGNAN,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,BALAGNAN,PH100000000,PH104300000,PH104302000,PH104302001
BALIWAGAN NATIONAL HIGH SCHOOL,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,PH100000000,PH104300000,PH104302000,PH104302003
BHS BALIWAGAN,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,BALIWAGAN,PH100000000,PH104300000,PH104302000,PH104302003
BHS SAN FRANCISCO,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,SAN FRANCISCO,PH100000000,PH104300000,PH104302000,PH104302004
BHS BINITINAN,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,BINITINAN,PH100000000,PH104300000,PH104302000,PH104302005
BHS BLANCO,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,BLANCO,PH100000000,PH104300000,PH104302000,PH104302006
BHS CALAWAG,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,CALAWAG,PH100000000,PH104300000,PH104302000,PH104302008
BHS CAMUAYAN,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,CAMUAYAN,PH100000000,PH104300000,PH104302000,PH104302009
BHS COGON,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,COGON,PH100000000,PH104300000,PH104302000,PH104302010
BHS DANSULI,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,DANSULI,PH100000000,PH104300000,PH104302000,PH104302011
BHS DUMARAIT,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,DUMARAIT,PH100000000,PH104300000,PH104302000,PH104302012
BHS HERMANO,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,HERMANO,PH100000000,PH104300000,PH104302000,PH104302013
BHS KIBANBAN,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,KIBANBAN,PH100000000,PH104300000,PH104302000,PH104302014
BHS LINGGANGAO,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,LINGGANGAO,PH100000000,PH104300000,PH104302000,PH104302016
BHS MAMBAYAAN,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,MAMBAYAAN,PH100000000,PH104300000,PH104302000,PH104302017
BHS MANDANGOA,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,MANDANGOA,PH100000000,PH104300000,PH104302000,PH104302018
BHS NAPALIRAN,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,NAPALIRAN,PH100000000,PH104300000,PH104302000,PH104302019
BHS BARANGAY 1,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,BARANGAY 1 (POB.),PH100000000,PH104300000,PH104302000,PH104302020
BHS BARANGAY 2,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,BARANGAY 2 (POB.),PH100000000,PH104300000,PH104302000,PH104302021
BHS BARANGAY 4,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,BARANGAY 4 (POB.),PH100000000,PH104300000,PH104302000,PH104302023
BHS BARANGAY 5,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,BARANGAY 5 (POB.),PH100000000,PH104300000,PH104302000,PH104302024
BHS BARANGAY 6,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,BARANGAY 6 (POB.),PH100000000,PH104300000,PH104302000,PH104302025
BHS QUEZON,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,QUEZON,PH100000000,PH104300000,PH104302000,PH104302026
BHS ROSARIO,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,ROSARIO,PH100000000,PH104300000,PH104302000,PH104302027
BHS SAMAY,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,SAMAY,PH100000000,PH104300000,PH104302000,PH104302028
ANE-I - BALAY MINDANAO,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,ANI-E,PH100000000,PH104300000,PH104306000,PH104306001
APOSKAHOY - SK BUILDING,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,APOSKAHOY,PH100000000,PH104300000,PH104306000,PH104306002
BULAHAN - SENIOR CITIZEN,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,BULAHAN,PH100000000,PH104300000,PH104306000,PH104306003
CABACUNGAN - DAY CARE CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,CABACUNGAN,PH100000000,PH104300000,PH104306000,PH104306004
GUMAOD - OLD BHS,,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,GUMAOD,PH100000000,PH104300000,PH104306000,PH104306007
GUMAOD - OLD BHS,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,GUMAOD,PH100000000,PH104300000,PH104306000,PH104306007
HINAPLANAN - DAYCARE CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,HINAPLANAN,PH100000000,PH104300000,PH104306000,PH104306008
KALAWITAN - KALAHI BUILDING,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,KALAWITAN,PH100000000,PH104300000,PH104306000,PH104306009
LUNA - MCP BUILDING,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,LUNA,PH100000000,PH104300000,PH104306000,PH104306011
MADAGUING - DAY CARE CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,MADAGUING,PH100000000,PH104300000,PH104306000,PH104306012
MALAGANA - NEW BARANGAY HALL,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,MALAGANA,PH100000000,PH104300000,PH104306000,PH104306013
MAT-I - BARANGAY HALL,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,MAT-I,PH100000000,PH104300000,PH104306000,PH104306015
PARMBUGAS - BHS,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,PAMBUGAS,PH100000000,PH104300000,PH104306000,PH104306017
PARTOCENIO - BARANGAY STOCK ROOM,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,PATROCENIO,PH100000000,PH104300000,PH104306000,PH104306018
PLARIDEL - BARANGAY HALL,,,2020-05-31 00:00:00 UTC,,,,,,,,,,,,,2020-05-31 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,PLARIDEL,PH100000000,PH104300000,PH104306000,PH104306019
PLARIDEL - BARANGAY HALL,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,PLARIDEL,PH100000000,PH104300000,PH104306000,PH104306019
POBLACION - SENIOR CITIZEN BUILDING,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,POBLACION,PH100000000,PH104300000,PH104306000,PH104306020
PUNONG - DAY CARE CENTER,,,2020-06-07 00:00:00 UTC,,,,,,,,,,,,,2020-06-07 00:00:00 UTC,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CLAVERIA,PUNONG,PH100000000,PH104300000,PH104306000,PH104306021
